Broadband Provider Name,DBA Name,Holding Company,Consumer Support Phone Number,Consumer Website URL,States and Territories,Broadband Service Type,"Offering Connected Devices (Laptop, Desktop, or Tablet)?"
North Dakota Telephone Company,,TPC Inc.,701-662-1100,www.gondtc.com,ND,Fixed Broadband,No
"RM Greene, Inc","Cable TV East Alabama, a/k/a CTV Beam, Beam",,334-298-7000,www.ctvbeam.com,AL,Fixed Broadband,No
"Skypacket Networks, Inc",Skypacket Networks,,1-800-214-9060,https://skypacket.net/,"MD, PA, WV",Fixed Broadband,No
"Starry, Inc",,,888-231-9403,www.starry.com,"CA, CO, DC, MA, NJ, NY, VA",Fixed Broadband,No
"W. T. Services, Inc.","WT Services, Inc.","West Texas Rural Telephone Cooperative, Inc",1-888-440-4331,www.wtservices.net,TX,Fixed Broadband,No
West Texas Rural Telephone Cooperative Inc,,,1-888-440-4331,www.wtrt.net,TX,Fixed Broadband,No
"3E8 Broadband Solutions, LLC","empower, delivered by Craighead Electric",Craighead Electric Cooperative Corporation,870-336-0999,www.empowerbroadband.com,AR,Fixed Broadband,No
Cellspan Inc.,,,1-844-235-7726,www.cellspaninc.com/,"AR, MD, WV",Mobile Broadband,Yes
Craw-Kan Telephone Cooperative,,,620-724-8235,www.ckt.net,"KS, MO, OK",Fixed Broadband,No
"Gen Mobile, Inc",,,833-528-1380,www.genmobile.com,"AZ, CA, CO, DE, FL, GA, ID, KY, MD, MI, MO, NJ, NY, NC, OH, OK, PA, SC, TX, WA, WI",Mobile Broadband,Yes
"Gibson Connect, LLC",,,731-562-6000,www .gibsonconnect.com/,"KY, TN",Fixed Broadband,Yes
Greenlight Networks,,Greenlight Networks Holding Corp,585-351-6600,www.greenlightnetworks.com,NY,Fixed Broadband,No
Hooper Telephone Company,WesTel Systems,,800-352-0006,www.westelsystems.com,NE,Fixed Broadband,No
iGo Technology Inc.,iGo Technology Inc.,,423-648-8398,www.igotechology.com,"TN, VA",Fixed Broadband,No
LTD Broadband LLC,,,507-369-2669,www.ltdbroadband.com,"IA, KS, MN, NE, SD, WI",Fixed Broadband,No
Mercury Network Corporation,,,989-837-3790,www.mercury.net,"MI, WI",Fixed Broadband,No
New Libson Telephone Company (NLTC),,,765-332-2413,www.nlbc.com,IN,Fixed Broadband,No
"OTZ Telephone Cooperative, Inc.",,,907-442-1000,www.otz.net,AK,Fixed Broadband or Mobile Broadband,No
"Roanoke Connect Holdings, LLC",,,800-433-2236,www.roanokeconnect.com,NC,Fixed Broadband,No
Skynet Wireless LLC,Skynet Wireless LLC,,787-882-0714,www.skynetpr.com,PR,Fixed Broadband,No
"TEPA Connect, LLC",,,662-587-9055,www.tippahepa.com/tepaconnect.php,MS,Fixed Broadband,No
True Wireless,,SurgePays,1-877-412-1919,www.gotruewireless.com,"AR, MD, OK, RI, TX",Mobile Broadband,Yes
"Twin Valley Telephone, Inc",,"Twin Valley Management, Inc",800-515-3311,www.twinvalley.net,KS,Fixed Broadband,No
Uplink,,,662-483-4177,http://uplinkinternet.net/,MS,Fixed Broadband,No
West Iowa Telephone Company,WesTel Systems,,800-352-0006,www.westelsystems.com,IA,Fixed Broadband,No
Whidbey Telephone Company,,,360-321-1122,www.whidbeytel.com,WA,Fixed Broadband,No
"WhyFly, LLC",WhyFly,,302-722-7774,www.whyfly.com,DE,Fixed Broadband,No
American Samoa Telecommunications Authority,,,684-699-3000,www.astca.net,AS,Fixed Broadband or Mobile Broadband,Yes
"Blue Valley Tele-Communications, Inc.",,,785-799-3311,www.bluevalley.net,KS,Fixed Broadband,No
Chazy and Westport Telephone Corp.,,,518-962-8211,https://chazywestport.com/,NY,Fixed Broadband,No
Cincinnati Bell Telephone Company,,,866-565-2210,www.cincinnatibell.com,"IN, KY, OH",Fixed Broadband,No
"CMN-RUS, Inc.",MetroNet,"MetroNet Holdings, LLC",877-407-3224,www.metronetinc.com,IN,Fixed Broadband,No
"Gargoyle Technologies, Inc.",VOLO Internet + Tech,"Gargoyle Technologies, Inc.",217-367-8656,www.volo.net,IL,Fixed Broadband,No
GCI Communication Corp.,,,800-800-4800 (GCI) or 800-478-2020 (UUI),www.gci.com/offers/internet www uui-alaska.com/internet/,AK,Fixed Broadband or Mobile Broadband,Yes
"Jaguar Communications, Inc.",MetroNet,"MetroNet Holdings, LLC",877-407-3224,www.metronetinc.com,MN,Fixed Broadband,No
La Porte City Telephone Company,LPC Connect,,800-342-7290,www.lpcconnect.net,IA,Fixed Broadband,No
"Madison County Telephone Company, Inc.",,MADCO Holding Company,479-738-2121,ww.madisoncounty.net,AR,Fixed Broadband,No
"Metro Fibernet, LLC",MetroNet,"MetroNet Holdings, LLC",877-407-3224,www.metronetinc.com,"IL, IA, KY, MI, OH",Fixed Broadband,No
"Roosevelt County Rural Telephone Cooperative, Inc.",Yucca Telecom,,575-226-2255,Yuccatelecom.com,NM,Fixed Broadband,No
Scott County Telephone Cooperative,,,276-452-9119,www.sctc.org,"TN, VA",Fixed Broadband,No
W.A.T.C.H. TV Company,WATCH Communications,Benton Ridge Telephone Company,1-800-589-3837,www.watchcomm.net,"IL, IN, KY, OH",Fixed Broadband,Yes
Wave Wireless LLC,,,620-423-9283,www.wavewls.com,KS,Fixed Broadband,No
"Beggs Telephone Co., Inc.",,,918-267-3636,www.beggstelco.net,OK,Fixed Broadband,No
"Gorham Telephone Company, Inc.",Gorham Telephone Company,,785-637-5300,www.gorhamtel.com,KS,Fixed Broadband,No
"La Ward Telephone Exchange, Inc.",,,361-872-2211,www.laward.net,TX,Fixed Broadband,No
"Local Internet Service Company, Inc.",LISCO,,1-800-331-8414,www.lisco.com,IA,Fixed Broadband,No
McDonald County Telephone Company,,,417-223-4313,https://olemac.net/internet/,MO,Fixed Broadband,No
Sjoberg's Inc.,,,218-681-3044,www.mncable.net,MN,Fixed Broadband,No
"Southern California Tribal Technologies, LLC",TDVNet,,760-742-0582 x-134,www.tdvnet.com,CA,Fixed Broadband,No
"Standing Rock Telecommunications, Inc",,,701-854-7098,www.standingrocktelecom.com,"ND, SD",Mobile Broadband,No
"Tidewater Telecom, Inc",,Lincolnville Telephone Company,207-563-9931,www.tidewater.net,ME,Fixed Broadband,No
"BCI Mississippi Broadband, LLC",MaxxSouth Broadband,"Block Communications, Inc.",800-457-5351,www.maxxsouth.com/,"AL, MS",Fixed Broadband,No
"Buckeye Cablevision, Inc.",Buckeye Broadband,"Block Communications, Inc.",419-724-9800,www.buckeyebroadband.com,"MI, OH",Fixed Broadband,No
"CoastConnect, LLC",,Coast Electric Power Association,877-769-2372 or 877-969-3884 (tech support),www.coastconnect.com,MS,Fixed Broadband,No
"Erie County Cablevision, Inc,",Buckeye Broadband,"Block Communications, Inc.",419-724-9800,www.buckeyebroadband.com/,OH,Fixed Broadband,No
"Frontier Communications Northwest, LLC",Ziply Fiber,,866-699-4759,www.ziply.com,"ID, OR, WA",Fixed Broadband,No
Glenwood Telephone Membership Corp.,,,402-756-3131,www.gtmc.net,NE,Fixed Broadband,No
"Hood Canal Telephone Co., Inc",Hood Canal Communications,RJB Telecommunication Corp.,360-898-2481,www.hcc.net,WA,Fixed Broadband,No
Phillips County Telephone Company,PC Telcom,,970-854-2201,www.pctelcom.coop,CO,Fixed Broadband,No
Pine Telephone Co. Inc.,,,580-584-2200,www.pinetelephone.com,OK,Fixed Broadband,No
"Resonance Broadband, LLC",,,918-429-3620,www.resonancebroadband.com,OK,Fixed Broadband,No
"Triangle Telephone Cooperative Association, Inc.",Triangle Communications,,406-394-7807,https://itstriangle.com/,MT,Fixed Broadband,No
Xchange Telecom LLC,,,646-722-7200,www.xchangetele.com,"NJ, NY",Fixed Broadband or Mobile Broadband,Yes
"Franklin Telephone Co., Inc.",,,802-285-9911,www.franklinvt.net,VT,Fixed Broadband,No
"Alliance Communications Cooperative, Inc.",Alliance Communications,,605-594-3411,www.alliancecom.net,"IA, MN, SD",Fixed Broadband,No
"Ballard Rural Telephone Cooperative Corporation, Inc.",BTC,,270-665-5186,www.btcservices.org,KY,Fixed Broadband,No
Carolina West Wireless,Carolina West Wireless,Carolina West Wireless,1-800-235-5007,www.carolinawest.com,NC,Fixed Broadband or Mobile Broadband,No
"Citizens Telephone Company of Hammond, New York, Inc.",,,315-324-5911,www.citi-tele.com,NY,Fixed Broadband,Yes
Filer Mutual Telephone Company,TruLeap Technologies,,208-326-4331,www.truleap.net,"ID, NV",Fixed Broadband,No
"Hawaiian Telcom, Inc",,"Cincinnati Bell, Inc",808-643-3456,www.hawaiiantel.com,HI,Fixed Broadband,No
"North State Telephone Company, LLC",,,336-886-3600,www.northstate.net/,NC,Fixed Broadband,No
Palmerton Telephone Company,,Pencor Services,610-826-6650,www.ptelcom.com,PA,Fixed Broadband,No
"United Cooperative Electric Services, Inc.",United Cooperative Services,,817-556-4000,www.ucs.net,TX,Fixed Broadband,No
4 SIWI LLC,,,618-997-7494,www.4siwi.com,IL,Fixed Broadband,No
"Alma Telephone Co, Inc.",ATC,"Alma Telecom, Inc.",912-632-8603,www.atcbroadband.com/,GA,Fixed Broadband,No
"Bug Tussel Wireless, LLC",,Hilbert Communications,1-877-227-0924,www.bugtusselwireless.com/,WI,Fixed Broadband,No
"Burke's Garden Telephone Co., Inc.",,,276-472-2345,http://bgtco.net/,VA,Fixed Broadband,No
Cellular Network Partnership,Pioneer Cellular,,1-888-782-2667,www.gopioneer.com,OK,Mobile Broadband,No
Demopolis CA TV Company,,,334-289-0727,www.demopoliscatv.com,AL,Fixed Broadband,No
"Horry Telephone Cooperative, Inc.",,,843-365-2154 HTC or 910-446-9172 Bluewave,www.htcinc.net & www.bluewavenc.net,"NC, SC",Fixed Broadband,No
Moapa Valley Telephone Company,MVT,"Moapa Valley Telecommunications, INC",702-397-2601,www.mvtel.com,NV,Fixed Broadband,No
Osnet Wireless Corp.,,,787-665-1919,https://osnetpr.com/,PR,Fixed Broadband,No
"Pioneer Telephone Cooperative, Inc.",Pioneer,,1-888-782-2667,www.gopioneer.com,OK,Fixed Broadband,No
Public Service Telephone Company,,"Public Service Communications, Inc.",478-847-4111,www.pstel.com,GA,Fixed Broadband,No
Reservation Telephone Cooperative,,,1-888-862-3115,www.rtc.coop/internet,ND,Fixed Broadband,No
"SLIC Network Solutions, Inc.",,"Atlas Connectivity, LLC",315-328-4411,www.slic.com,NY,Fixed Broadband,No
"SRT Communications, Inc.",,,701-858-5233,www.srt.com,ND,Fixed Broadband,No
"Waitsfield-Fayston Telephone Co., Inc.",Waitsfield and Champlain Valley Telecom,Selectronics Corp.,802-496-3391,www.wcvt.com/,VT,Fixed Broadband,No
Western Wahkiakum County Telephone Company,"WWEST Communications, Wahkiakum West","Wahkiakum West, Inc.",360-465-2211,www.wahkiakumwest.com,WA,Fixed Broadband,No
Bertram Communications,,,920-351-1023,https://gobertram.com,WI,Fixed Broadband,No
Churchill County Tel and Tel System,CC Communications,,775-423-7171,www.cccomm.net,NV,Fixed Broadband,Yes
Crossville Telephone Company,Crossville Communications,"Crossville Consolidated Communications, Inc.",618-966-2196,www.crosstelco.com,IL,Fixed Broadband,No
Great Plains Communications LLC,,Great Plains Communications Holdings LLC,1-855-853-1483,www.gpcom.com,NE,Fixed Broadband,No
"iTV-3, LLC","i3 Broadband, LLC","WH i3B Topco, LLC",1-877-976-0711,www.i3broadband.com,IL,Fixed Broadband,No
"Pineland Telephone Cooperative, Inc.",,,800-247-1266,www.pineland.net/,GA,Fixed Broadband,No
Runestone Telephone Association,Runestone Telecom Association,,320-986-2013,www.runestone.net,MN,Fixed Broadband,No
"Service Area 5 Cable, LLC",i3 Broadband,"WH i3B Topco, LLC",401-247-1250,www.i3broadband.com,RI,Fixed Broadband,No
"TEC of Jackson, Inc.",TEC - TEC of Jackson Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,MS,Fixed Broadband,No
The Ponderosa Telephone Co.,Ponderosa Telephone,Ponderosa Communications,559-868-6000 Toll Free or 1-800-682-1878,https://goponderosa.com/,CA,Fixed Broadband,No
"Topsham Telephone Company, Inc.",,Citizens-Vermont Acquisition Corp.,802-439-5325,www.tops-tele.com,VT,Fixed Broadband,No
Ubinet Corp.,Ubinet Wireless,,787-200-7596,www.ubinetpr.com,PR,Fixed Broadband,No
Clara City Telephone Company,,"Hanson Communications, Inc.",888-283-7667 or 888-284-7667,www.hcinet.net,MN,Fixed Broadband,No
Dekalb Telephone Cooperative,DTC Communications,,615-529-2955,www.dtccom.net,TN,Fixed Broadband,No
DigitalC,EmpowerCLE,,216-777-3859,www.empowercle.org,OH,Fixed Broadband,No
Hamilton County Telephone Co-op,,,618-736-2211,www.hamiltoncom.net/,IL,Fixed Broadband,No
KanOkla Telephone Association,KanOkla Networks,,800-526-6552,www.kanokla.com,"KS, OK",Fixed Broadband,No
"La Motte Telephone Company, Inc",,,563-773-2213,www.lamotte-telco.com,IA,Fixed Broadband,No
Lumos Telephone Inc.,,Lumos Networks Operating Company,855-465-8667,www.lumosnetworks.com,VA,Fixed Broadband,No
"Lumos Telephone of Botetourt, Inc.",,Lumos Networks Operating Company,855-465-8667,www.lumosnetworks.com,VA,Fixed Broadband,No
"National Telephone of Alabama, Inc.",TEC - National Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,AL,Fixed Broadband,No
"PocketiNet Communications, Inc.",PocketiNet Communications,,509-526-5026,www.pocketinet.com,"OR, WA",Fixed Broadband,No
"Point Broadband Fiber Holding, LLC",Point Broadband,,844-407-6468,https://point-broadband.com/,"AL, GA, MD, MI, NY, OH, VA",Fixed Broadband,No
Shenandoah Telephone Company,"Shentel, Glofiber, Beam Wireless",Shenandoah Telecommunications Company,1-800-743-6835,www.shentel.com or www.glofiber.com or www.iwantbeam.com,"KY, MD, VA, WV",Fixed Broadband,No
"Steelville Telephone Exchange, Inc.",STE Communications,,573-775-2111,www.goste.net,MO,Fixed Broadband,No
"Sunset Digital Communications, LLC",Point Broadband,,844-407-6468,https://point-broadband.com/,"TN, VA",Fixed Broadband,No
"Table Top Telephone Company, Inc.",,Ponderosa Communications,520-387-7676 (Toll Free) or 1-800-560-8101,https://tabletoptelephone.com,AZ,Fixed Broadband,No
Templeton Telephone Company,Templeton Telecom,,712-669-3311,www.templetontelecom.net,IA,Fixed Broadband,No
"Twin Valley Communications, Inc",,"Twin Valley Management, Inc",800-515-3311,www.twinvalley.net,KS,Fixed Broadband,No
West River Cooperative Telephone Company,,,605-244-5213,www.sdplains.com,"MT, ND, SD",Fixed Broadband,No
"Andrew Telephone Company, Inc",,,563-773-2213,www.lamotte-telco.com,IA,Fixed Broadband,No
"CloudWyze, Inc.",,,910-795-1000,www.cloudwyze.com/,NC,Fixed Broadband,No
"Hargray of Alabama, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,AL,Fixed Broadband,No
"Head Start Telecom, Inc.",DartPhone,,888-360-2030,www.dartphone.com/,OK,Mobile Broadband,No
Kimberly F. Cosby DBA Idle Inn Wireless,K&D Wireless,,334-419-4329 or 334-292-0372,www.facebook.com/wirelesskd,AL,Mobile Broadband,Yes
"Meriwether Lewis Connect, LLC",MLConnect,,931-729-3558,www.mlconnect.com,TN,Fixed Broadband,No
Neptunomedia Inc.,Neptuno,,1-787-777-0018,www.neptunopr.com,PR,Fixed Broadband,No
"Pembroke Telephone Company, Inc.",Pembroke Advanced Communications dba PACfiber,"Pembroke Telephone Company, Inc.",912-653-4389,www.pacfiber.com,GA,Fixed Broadband,Yes
People's Choice Communications Inc,,,843-579-1247,www.peopleschoice.coop,NY,Fixed Broadband or Mobile Broadband,Yes
Peoples Telephone Company,TEC - Peoples Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,TN,Fixed Broadband,No
Sacred Heart Telephone Company,,"Hanson Communications, Inc.",888-283-7667 or 888-284-7667,www.hcinet.net,MN,Fixed Broadband,No
Starbuck Telephone Company,,"Hanson Communications, Inc.",888-283-7667 or 888-284-7667,www.hcinet.net,MN,Fixed Broadband,No
TDS Telecommunications Corporation,,TDS Telecommunications LLC,888-225-5837,www.tdstelecom.com,"AL, AZ, CA, CO, FL, GA, ID, IN, KY, ME, MI, MN, MS, NH, NY, OH, OK, OR, PA, SC, TN, VT, VA, WA, WI",Fixed Broadband,No
Zumbrota Telephone Company,,"Hanson Communications, Inc.",888-283-7667 or 888-284-7667,www.hcinet.net,MN,Fixed Broadband,No
Farmers Mutual Telephone Company,OmniTel Communications,,641-749-2531,www.omnitel.biz,IA,Fixed Broadband,No
Farmers Telephone Company,OmniTel Communications,,641-749-2531,www.omnitel.biz,IA,Fixed Broadband,No
24-7 Telcom,,,715-231-2000,www.wwt.net,WI,Fixed Broadband,No
Arlington Telephone Company,American Broadband,"HunTel, Inc.",402-426-6200,www.abbnebraska.com,NE,Fixed Broadband,No
Blair Telephone Company,American Broadband,HunTel Inc.,402-426-6200,www.abbnebraska.com,NE,Fixed Broadband,No
"Chibardun Telephone Cooperative, Inc.",Mosaic Technologies,,715-458-5400,www.experiencemosaic.com,WI,Fixed Broadband,Yes
"Compass Broadband Network, Inc.",Community Broadband Networks,,1-877-578-7780 or 315-325-5000,www.cbn.network/ and https://cbn-flx.com/,"FL, NY",Fixed Broadband,Yes
"Crockett Telephone Company, Inc.",TEC - Crockett Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,TN,Fixed Broadband,No
"CTC Telcom, Inc.",Mosaic Technologies,,715-458-5400,www.experiencemosaic.com,WI,Fixed Broadband,Yes
"FMTC-I35, Inc.",OmniTel Communications,,641-749-2531,www.omnitel.biz,IA,Fixed Broadband,No
"FMTC-SWT, Inc.",OmniTel Communications,,641-749-2531,www.omnitel.biz,IA,Fixed Broadband,No
Grafton Telephone Company,,"Grafton Communications, Inc.",618-786-3311,www.graftontel.com,IL,Fixed Broadband,No
Grand River Mutual Telephone Corp.,GRM Networks,Grand River Mutual Telephone Corp.,1-800-451-2301,www.grm.net,"IA, MO",Fixed Broadband,No
"ISP Management, Inc.",,,989-466-6104,www.ispmgt.com,MI,Fixed Broadband,No
Kalona Cooperative Telephone Company,Kalona Cooperative Technology Company,,319-656-3668,www.kctc.net,IA,Fixed Broadband,No
Minnesota Valley Telephone Company,,Larson Utilities Inc,507-557-2275,www.mnval.com,MN,Fixed Broadband,No
"Nicholville Telco, LLC",Nicholville Telephone Company,"Atlas Connectivity, LLC",315-328-4411,www.nicholville.com,NY,Fixed Broadband,No
OmniTel Communications,,,641-749-2531,www.omnitel.biz,IA,Fixed Broadband,No
"Perry-Spencer Rural Telephone Cooperative, Inc.",PSC,,877-511-4899,www.newweb.psci.net,IN,Fixed Broadband,No
"The Hinton Telephone Company of Hinton, Oklahoma Incorporated",X-Stream Services,,405-542-3262 or 405-542-8324,www.xstreamservices.com,OK,Fixed Broadband,No
Winthrop Telephone Company,,Larson Utilities Inc,507-647-5395,www.mnval.com,MN,Fixed Broadband,No
Alyrica Networks Inc,,,541-929-3330,www.alyrica.net,OR,Fixed Broadband,No
"Bay Springs Telephone Company, Inc.",TEC - Bay Springs Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,MS,Fixed Broadband,No
"Beehive Telephone Company, Inc.",Beehive Broadband,,435-837-6000,https://beehive.net/,UT,Fixed Broadband,No
"Bluffton Telephone Company, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,SC,Fixed Broadband,No
"Casco Communications, Inc.",PEAK Internet,,541-754-7325,www.peakinternet.com,OR,Fixed Broadband,No
Champlain Telephone Company,Champlain Technology Group,,518-298-2411,www.champlaintelephone.com,NY,Fixed Broadband,No
"Docomo Pacific, Inc.",,"Docomo Guam Holdings, Inc.",1-671-688-2273,www.docomopacific.com,"GU, MP",Fixed Broadband or Mobile Broadband,No
Eastern Nebraska Telephone Company,American Broadband,HunTel Inc.,402-426-6200,www.abbnebraska.com,NE,Fixed Broadband,No
"Hargray Telephone Company, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,SC,Fixed Broadband,No
Plant Telephone Company,PlantTel,,229-528-4777,www.planttel.net,GA,Fixed Broadband,No
Rock County Telephone Company,American Broadband,HunTel Inc.,402-426-6200,www.abbnebraska.com,NE,Fixed Broadband,No
"South Central Communications, Inc.",SCC Networks,Grand River Mutual Telephone Corp.,1-800-451-2301,www.grm.net,IA,Fixed Broadband,No
South Central Rural Telecommunications,,,270-678-8230,www.scrtc.com,KY,Fixed Broadband,No
Telephone Service Company,,"Hanson Communications, Inc.",800-831-6099,www.hcinet.net,OH,Fixed Broadband,No
"TruVista Communications, Inc. f/k/a The Chester Telephone Company",TruVista,,1-800-768-1212,www.truvista.net/,"GA, SC",Fixed Broadband,No
"Vermont Telephone Company, Inc.",,,802-885-9000,www.vermontel.com or www.vtelwireless.com,VT,Fixed Broadband,No
"West Tennessee Telephone Company, Inc.",TEC - West Tennessee Division,Telephone Electronics Corporation,844-978-2984,www.tec.com,TN,Fixed Broadband,No
"Franklin Telephone Co., Inc.",,"Telapex, Inc.",877-422-1212,www.ftcweb.net,MS,Fixed Broadband,No
Bascom Mutual Telephone Company,Bascom Communications,,419-937-2222,www.bascomtelephone.com,OH,Fixed Broadband,No
City of Fort Collins,,,970-212-2900,www.fcconnexion.com,CO,Fixed Broadband,No
"ComSouth Telecommunications, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,GA,Fixed Broadband,No
"ComSouth Telenet, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,GA,Fixed Broadband,No
"ETS Telephone Company, Inc.",,Radiate Holdings LP,1-888-610-1499,www.entouch.net/,TX,Fixed Broadband,No
"Grande Communications Networks, LLC",,Radiate Holdings LP,1-844-357-0942,https://mygrande.com/,TX,Fixed Broadband,No
"Hargray, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,SC,Fixed Broadband,No
Harrisonville Telephone Company,,HTC Holding Co.,618-939-6112,www.htc.net,IL,Fixed Broadband,No
Newaygo County Regional Educational Service Agency,Newaygo County RESA,,231-924-8872,www.ncats.net,MI,Fixed Broadband,No
"OEConnect, LLC",,"Otsego Electric Cooperative, Inc.",607.293.6622,www.oeconnect.coop,NY,Fixed Broadband,No
"RCN Telecom Services of Massachusetts, LLC",,Radiate Holdings LP,1-800-746-4726,www.rcn.net,MA,Fixed Broadband,No
"RCN Telecom Services, LLC",,Radiate Holdings LP,1-800-746-4726,www.rcn.net,"DC, IL, MD, NY, VA",Fixed Broadband,No
"Red Pocket, Inc",,,888-993-3888,www.redpocket.com,"CA, DE, DC, FL, IL, NV, NJ, NY, OR, PA, TX, WA, WI, PR",Mobile Broadband,Yes
"Rio Verde Wireless, LLC",,,480-588-2428,www.rioverdewireless.com,AZ,Fixed Broadband,No
"Sandhill Telephone Cooperative, Inc.",,,843-658-3434,"www.shtc.net, www.shnext.com",SC,Fixed Broadband,No
Surry Telephone Membership Corporation,,,336-374-5021,https://surry.net/,NC,Fixed Broadband,No
The Benton Ridge Telephone Company,,,1-800-589-3837,www.watchcomm.net,OH,Fixed Broadband,Yes
"Trailwave Fiber, Inc.",,Habersham Electric Membership Coporation,706-754-2114,www.habershamemc.com/trailwave,GA,Fixed Broadband,No
"Beehive Telephone Company, Inc., Nevada",Beehive Broadband,,435-837-6000,https://beehive.net/,NV,Fixed Broadband,No
Bixby Telephone Company,BTC Broadband,,918-366-8000,www.btcbroadband.com,OK,Fixed Broadband,No
"Bruce Telephone Company, Inc.",BTC,"Fail,Inc.",662-983-4343,https://www.brucetelephone.com,MS,Fixed Broadband,No
"Cable Communications of Willsboro, Inc.",,,518-963-4116,www.willex.com,NY,Fixed Broadband,No
Fond du Lac Communications,Fond du Lac Communications,,218-878-7337,https://aaniin.net/index.html,MN,Fixed Broadband,No
Hickory Telephone Company,,"Hickory Utility Services, Inc.",724-356-2211,www.hky.com,PA,Fixed Broadband,No
Holway Telephone Company,American Broadband,RBJ Corp.,402-426-6200,www.abbnebraska.com,MO,Fixed Broadband,No
"HunTel CableVision,Inc.",HunTel Communications,HunTel Inc.,402-426-6200,www.abbnebraska.com,NE,Fixed Broadband,No
KLM Telephone Company,American Broadband,RBJ Corp.,402-426-6200,www.abbnebraska.com,MO,Fixed Broadband,No
"MiBroadband, LLC",,,507-886-6422,www.mibroadband.com,"IA, MN",Fixed Broadband,Yes
Middle Point Home Telephone Company,,"Hanson Communications, Inc",800-831-6099,www.hcinet.net,OH,Fixed Broadband,No
Northeast Missouri Rural Telephone Company,NEMR Telecom,,660-874-4111,www.nemr.net,MO,Fixed Broadband,No
Premier Holdings LLC,,,870-292-4733,www.premierbroadband.com or www.mypremierbroadband.com,AR,Fixed Broadband,No
RCN Telecom Services (Lehigh) LLC,,Radiate Holdings LP,1-800-746-4726,www.rcn.net,PA,Fixed Broadband,No
The Chillicothe Telephone Company,,Horizon Telecom,866-436-7163,www.horizonconnects.com,OH,Fixed Broadband,No
"WaveDivision Holdings, LLC",,Radiate Holdings LP,1-866-928-3123,https://residential.wavebroadband.com/,"CA, OR, WA",Fixed Broadband,No
"Wired or Wireless, Inc.",AIR-PIPE/POVN,,866-969-8351,http://wow-tel.com/,"ID, WA",Fixed Broadband,No
"A&A Communications, LLC",,,304-938-3210,www.aacommunicationsllc.net,WV,Fixed Broadband,No
"Advanced Network Communications, LLC",Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
City of Longmont,NextLight,City of Longmont,303-774-4494,www.mynextlight.com,CO,Fixed Broadband,No
"CommChoice of Iowa, LLC",Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
"Eastern Carolina Broadband, LLC",,,252-516-0025,www.ecbroadband.com,NC,Fixed Broadband,No
Grand Mound Cooperative Telephone Association,,,1-866-847-4638,www.gmtel.net,IA,Fixed Broadband,No
"Hargray of Georgia, Inc.",Hargray,"Hargray Communications Group, Inc.",1-877-HARGRAY,www.hargray.com,GA,Fixed Broadband,No
Jordan Soldier Valley Telephone Company,Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
Kalama Telephone Company,,Scatter Creek Ltd.,360-673-2755,www.kalamatelephone.com,WA,Fixed Broadband,No
"Long Lines Metro, LLC",Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
"Long Lines Siouxland, LLC",Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,NE,Fixed Broadband,No
"Net Vision Communications, LLC",,,417-851-1700,www.netviscom.com,MO,Fixed Broadband,No
Northwest Iowa Telephone Company,Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
"Orange City Communications, LLC",Long Lines Broadband,"Schurz Communications, Inc.",712-271-4000,www.longlines.com,IA,Fixed Broadband,No
TeninoTelephone Company,,Scatter Creek Ltd.,360-264-2915,www.teninotelephone.com,WA,Fixed Broadband,No
VVD Funding LLC,Premium Choice Broadband,Premium Choice Broadband,207-735-2611,http://premiumchoicebroadband.com,ME,Fixed Broadband,No
Yukon-Waltz Telephone Company,LHTC Broadband,"Laurel Highland Total Communications, Inc.",724-722-3131,www.LHTCBroadband.com,PA,Fixed Broadband,No
"InterBel Telephone Cooperative, Inc.",,,406-889-3311,www.interbel.com/,MT,Fixed Broadband,No
"Lackawaxen Telecommunications, Inc.",LHTC Broadband,"Laurel Highland Total Communications, Inc.",570-685-7111,www.LHTCBroadband.com,PA,Fixed Broadband,No
Laurel Highland Telephone Company,LHTC Broadband,"Laurel Highland Total Communications, Inc.",724-593-2411,www.LHTCBroadband.com,PA,Fixed Broadband,No
